channel,energy_keV,counts,count_rate_cps
677,1770.482554,4,5.066176936e-05
678,1773.334946,8,0.0001013235387
679,1776.188073,4,5.066176936e-05
680,1779.041936,2,2.533088468e-05
681,1781.896535,6,7.599265404e-05
682,1784.751870,4,5.066176936e-05
683,1787.607942,0,0
684,1790.464749,0,0
685,1793.322292,3,3.799632702e-05
686,1796.180572,6,7.599265404e-05
687,1799.039587,8,0.0001013235387
688,1801.899339,6,7.599265404e-05
689,1804.759826,5,6.33272117e-05
690,1807.621050,6,7.599265404e-05
691,1810.483009,1,1.266544234e-05
692,1813.345705,9,0.0001139889811
693,1816.209136,8,0.0001013235387
694,1819.073304,4,5.066176936e-05
695,1821.938208,4,5.066176936e-05
696,1824.803847,5,6.33272117e-05
697,1827.670223,2,2.533088468e-05
698,1830.537335,1,1.266544234e-05
699,1833.405183,5,6.33272117e-05
700,1836.273766,5,6.33272117e-05
701,1839.143086,2,2.533088468e-05
702,1842.013142,4,5.066176936e-05
703,1844.883934,6,7.599265404e-05
704,1847.755462,2,2.533088468e-05
705,1850.627726,3,3.799632702e-05
706,1853.500726,6,7.599265404e-05
707,1856.374462,1,1.266544234e-05
708,1859.248934,3,3.799632702e-05
709,1862.124142,1,1.266544234e-05
710,1865.000086,6,7.599265404e-05
711,1867.876767,6,7.599265404e-05
712,1870.754183,2,2.533088468e-05
713,1873.632335,5,6.33272117e-05
714,1876.511223,4,5.066176936e-05
715,1879.390848,4,5.066176936e-05
716,1882.271208,1,1.266544234e-05
717,1885.152304,4,5.066176936e-05
718,1888.034137,3,3.799632702e-05
719,1890.916705,7,8.865809638e-05
720,1893.800010,8,0.0001013235387
721,1896.684050,4,5.066176936e-05
722,1899.568827,2,2.533088468e-05
723,1902.454339,2,2.533088468e-05
724,1905.340588,2,2.533088468e-05
725,1908.227572,5,6.33272117e-05
726,1911.115293,0,0
727,1914.003750,2,2.533088468e-05
728,1916.892943,3,3.799632702e-05
729,1919.782871,7,8.865809638e-05
730,1922.673536,4,5.066176936e-05
731,1925.564937,3,3.799632702e-05
732,1928.457074,5,6.33272117e-05
733,1931.349947,2,2.533088468e-05
734,1934.243556,7,8.865809638e-05
735,1937.137900,3,3.799632702e-05
736,1940.032981,3,3.799632702e-05
737,1942.928798,4,5.066176936e-05
738,1945.825352,1,1.266544234e-05
739,1948.722641,8,0.0001013235387
740,1951.620666,6,7.599265404e-05
741,1954.519427,3,3.799632702e-05
742,1957.418924,3,3.799632702e-05
743,1960.319157,2,2.533088468e-05
744,1963.220126,2,2.533088468e-05
745,1966.121832,2,2.533088468e-05
746,1969.024273,6,7.599265404e-05
747,1971.927450,2,2.533088468e-05
748,1974.831364,3,3.799632702e-05
749,1977.736013,7,8.865809638e-05
750,1980.641398,3,3.799632702e-05
751,1983.547520,6,7.599265404e-05
752,1986.454377,2,2.533088468e-05
753,1989.361971,8,0.0001013235387
754,1992.270301,2,2.533088468e-05
755,1995.179366,4,5.066176936e-05
756,1998.089168,2,2.533088468e-05
757,2000.999705,4,5.066176936e-05
758,2003.910979,6,7.599265404e-05
759,2006.822989,7,8.865809638e-05
760,2009.735734,5,6.33272117e-05
761,2012.649216,2,2.533088468e-05
762,2015.563434,2,2.533088468e-05
763,2018.478388,2,2.533088468e-05
764,2021.394078,3,3.799632702e-05
765,2024.310504,3,3.799632702e-05
766,2027.227666,3,3.799632702e-05
767,2030.145564,1,1.266544234e-05
768,2033.064198,2,2.533088468e-05
769,2035.983568,0,0
770,2038.903674,1,1.266544234e-05
771,2041.824516,2,2.533088468e-05
772,2044.746094,3,3.799632702e-05
773,2047.668408,0,0
774,2050.591458,4,5.066176936e-05
775,2053.515244,2,2.533088468e-05
776,2056.439767,4,5.066176936e-05
777,2059.365025,2,2.533088468e-05
778,2062.291019,1,1.266544234e-05
779,2065.217750,2,2.533088468e-05
780,2068.145216,4,5.066176936e-05
781,2071.073418,2,2.533088468e-05
782,2074.002357,4,5.066176936e-05
783,2076.932031,4,5.066176936e-05
784,2079.862442,1,1.266544234e-05
785,2082.793588,3,3.799632702e-05
786,2085.725471,6,7.599265404e-05
787,2088.658090,4,5.066176936e-05
788,2091.591444,6,7.599265404e-05
789,2094.525535,4,5.066176936e-05
790,2097.460362,7,8.865809638e-05
791,2100.395924,1,1.266544234e-05
792,2103.332223,2,2.533088468e-05
793,2106.269258,4,5.066176936e-05
