mean_err_r_cm,median_err_r_cm,p68_err_r_cm,p90_err_r_cm,p95_err_r_cm,rmse_err_r_cm,mean_err_x_cm,sigma_err_x_cm,mean_err_z_cm,sigma_err_z_cm,feature_group,n_features,k,metric,normalization,weighting,training_events,training_positions,test_events
4.01061397134052,3.3721513403533523,4.645521264331587,7.501426077025875,9.381929392581966,4.859293486642953,0.33848725033333166,3.418660210810301,0.6337422249999981,3.381185054974052,fiber,16,12,euclidean,l1,uniform,2560,256,1000
3.9784852604858307,3.3420275946115465,4.654414193780347,7.471941135999891,8.923804417425941,4.810064288904212,0.33034569333942215,3.375234492312855,0.6611524720915106,3.349757125152234,fiber,16,24,euclidean,l1,inverse2,2560,256,1000
4.01214346790278,3.3870972188278192,4.6654902867609485,7.421408801272675,9.13507672427433,4.839199869517113,0.3046330836666646,3.3881176723561124,0.6539245166666645,3.382457063051321,fiber,16,24,euclidean,l1,uniform,2560,256,1000
3.973739091369937,3.2924010671120016,4.666423751516365,7.45151017922785,9.1806875782524,4.815686637009791,0.34789987986737053,3.3740518099847843,0.6507839216135893,3.3592747852877576,fiber,16,16,euclidean,l1,inverse,2560,256,1000
3.9865556726521714,3.354080319716177,4.686949983174963,7.456522529368006,9.2742190624979,4.830618714429904,0.342653917,3.378630713007276,0.651710975,3.376449069861667,fiber,16,16,euclidean,l1,uniform,2560,256,1000
4.043855146765365,3.429142359432862,4.731773311778518,7.465768150857754,9.34004511635145,4.902441498145989,0.38597208462333327,3.481083527366916,0.6300145952271328,3.3754420198375046,fiber,16,8,euclidean,l1,inverse,2560,256,1000
3.998163091505636,3.438936104968021,4.737041066601421,7.37181266071054,9.043989082809652,4.8250268644246255,0.3374310172923995,3.37883770945195,0.6604271474315568,3.3670565604482112,fiber,16,32,euclidean,l1,inverse2,2560,256,1000
4.052006488883353,3.4167858127796347,4.738412454622594,7.4226600566022345,9.458637859637678,4.904553513279939,0.37825930100353605,3.489821035160564,0.6240736375656676,3.37146732834249,fiber,16,8,euclidean,l1,inverse2,2560,256,1000
4.048630138414605,3.4311160177142694,4.765644143663319,7.504431778210722,9.242500238790639,4.912148245372173,0.393044542,3.4817175316128925,0.634523475,3.387231178156356,fiber,16,8,euclidean,l1,uniform,2560,256,1000
4.020700400613921,3.52739949817622,4.7818814032963575,7.470515557593119,9.033071266239233,4.845844420008446,0.32383053505903636,3.3904378599984684,0.6501923668070771,3.388583848823607,fiber,16,32,euclidean,l1,inverse,2560,256,1000
4.125919150392457,3.5739753979195905,4.784777679009742,7.560433350344861,9.530550134739526,4.97085521839795,0.33652036593882667,3.566229383358554,0.5960570076958851,3.3981090052049843,fiber,16,5,euclidean,l1,inverse,2560,256,1000
